id,Primary_Vocation,Acres,Percentage_Field_Crops,Percentage_Vegetable_Crops,Percentage_Tree_and_Vine_Crops,Percentage_Other,County,Alfalfa_Rank,Rice_Rank,Wheat_Rank,Triticale_Rank,Barley_Rank,Oats_Rank,Cotton_Rank,Corn_Rank,Corn_Silage_Rank,Small_Grain_Silage_Rank,Small_Grain_Hay_Rank,Grass_and_Grass_Mixtures_Hay_Rank,Sorghum_Sudangrass_Sudan_Rank,Dry_Beans_Rank,Mixed_Hay_Rank,Sunflower_Rank,Oilseeds_Rank,Sugar_Beets_Rank,Hemp_Rank,Other_Rank,Grass_and_Grass_Mixtures_Pasture_Rank,Wild_Rice_Rank,Concern_Commondity_Price_of_Crops,Concern_Market_Access,Concern_Consumer_Demand,Concern_Input_Costs,Concern_Water_Costs,Concern_Land_Tenure,Concern_Water_Quality_and_Availability,Concern_Labor_Quality_and_Availability,Concern_Water_Regulations_Quantity,Concern_Water_Regulations_Quality,Concern_Labor_Regulations,Concern_Chemical_Regulations,Concern_Air_Quality,Concern_Changing_Weather_and_Climate,Concern_Soil_Degradation,Concern_Other,Alfalfa_Concerns,Cotton_Concerns,Rice_Concerns,Wild_Rice_Concerns,Wheat_Concerns,Triticale_Concerns,Barley_Concerns,Oats_Concerns,Corn_Concerns,Sorghum_Concerns,Corn_Silage_Concerns,Small_Grain_Silage_Concerns,Small_Grain_Hay_Concerns,Grass_and_Grass_Mixtures_Hay_Concerns,Grass_and_Grass_Mixtures_Pasture_Concerns,Sorghum_Sudangrass_Sudan_Concerns,Mixed_Hay_Concerns,Dry_Beans_Concerns,Sunflower_Concerns,Oilseeds_Concerns,Sugar_Beets_Concerns,Hemp_Concerns,Other_Concerns,Alfalfa_Reasons,Cotton_Reasons,Rice_Reasons,Wild_Rice_Reasons,Wheat_Reasons,Triticale_Reasons,Barley_Reasons,Oats_Reasons,Corn_Reasons,Sorghum_Reasons,Corn_Silage_Reasons,Small_Grain_Silage_Reasons,Small_Grain_Hay_Reasons,Grass_and_Grass_Mixtures_Hay_Reasons,Grass_and_Grass_Mixtures_Pasture_Reasons,Sorghum_Sudangrass_Sudan_Reasons,Mixed_Hay_Reasons,Dry_Beans_Reasons,Sunflower_Reasons,Oilseeds_Reasons,Sugar_Beets_Reasons,Hemp_Reasons,Other_Reasons,Affected_Crop_Production_Profitability,Affected_Crop_Production_Crop_Yield,Affected_Crop_Production_Crop_Quality,Affected_Crop_Production_Input_Costs,Affected_Crop_Production_Soil_Fertility,Affected_Crop_Production_Land_Stewardship,Affected_Crop_Production_Natural_Resource_Conservation,Affected_Crop_Production_Meeting_Government_Regulations,Affected_Crop_Production_Labor_Required,Affected_Crop_Production_Ease_of_Implementation,Affected_Crop_Production_Certainty_in_Management_Practice,Affected_Crop_Production_Availability_of_Outreach_Information,Affected_Crop_Production_Water_Availability,Affected_Crop_Production_Other,Information_Sources,UCCE_Engagement_Attend_Field_Day,UCCE_Engagement_Read_Blog,UCCE_Engagement_Call_Advisor,UCCE_Engagement_Read_Newsletter,UCCE_Engagement_Interact_with_Social_Media,Amount_Valued_Continuing_Education_Credits,Amount_Valued_On_Farm_Consultations,Amount_Valued_Crop_Injury_Diagnosis,Amount_Valued_On_Farm_Trials,Priority_Irrigation_Management,Priority_Water_Conservation_and_Storage,Priority_Nutrient_Management,Priority_Salinity_Management,Priority_Soil_Health_Management,Priority_Cover_Crops,Priority_Weed_Control,Priority_Insect_Pest_Control,Priority_Disease_Control,Priority_Manure_Management,Priority_Compost_Management,Priority_Crop_Establishment,Priority_Variety_Testing,Priority_Harvest_and_Postharvest,Priority_Emerging_Crops,Priority_Testing_New_Products,Priority_Niche_Marketing_Field_Crops,Priority_Greenhouse_Gas_Emissions_Reduction,Priority_Organic_Production,Priority_Other,Satisfaction_Irrigation_Management,Satisfaction_Water_Conservation_and_Storage,Satisfaction_Nutrient_Management,Satisfaction_Salinity_Management,Satisfaction_Soil_Health_Management,Satisfaction_Cover_Crops,Satisfaction_Weed_Control,Satisfaction_Insect_Pest_Control,Satisfaction_Disease_Control,Satisfaction_Manure_Management,Satisfaction_Compost_Management,Satisfaction_Crop_Establishment,Satisfaction_Variety_Testing,Satisfaction_Harvest_and_Postharvest,Satisfaction_Emerging_Crops,Satisfaction_Testing_New_Products,Satisfaction_Niche_Marketing_Field_Crops,Satisfaction_Greenhouse_Gas_Emissions_Reduction,Satisfaction_Organic_Production,Satisfaction_Other,UCCE_Information_Types_Requested,UCCE_Information_Preferred_Contact,Internet_Information_Sources,Total_Years_in_Crop_Production,Years_On_Current_Farm,Percentage_Income_Agriculture,Percentage_of_Total_Irrigated_Acres,Percentage_of_Acres_Leased,Percentage_of_Acres_Owned,Proposed_Ideas,Age_Range,Gender,Race_Ethnicity,Gift_Card,Crops
26,Grower,100,70,10,20,0,Alameda,,,,,1,,2,,,,,,,,,,3,,,,,,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Not  concerned,Somewhat concerned,,Not  concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,,,"Nutrient Management,Weed Control,Soil Management,Labor",,,,,"Irrigation/Water Management,Disease Control,Harvest Operations",,,,,,,,,,,,,Insect Pest Control,,,,,"Stable Markets,Capacity for deficit irrigation or fallowing,Soil is not suitable for other crops,Supports wildlife habitat",,,,,"Profitability,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Crop is traditionally grown on my farm",,,,,,,,,,,,,"Crop Rotation Benefits,Suitability for saline/alkaline soils",,,,Always,Often,Sometimes,Rarely,Sometimes,Often,Sometimes,Often,Always,Sometimes,Rarely,Sometimes,Sometimes,,"Pesticide Control Advisor,Certified Crop Advisor,Environmental Groups",1-2 times/year,3-6 times per year,1-2 times/month,3-6 times per year,3-6 times per year,Somewhat Valuable,Not Valuable,Somewhat Valuable,Very Valuable,Medium Priority,High Priority,Medium Priority,Low Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,Low Priority,Medium Priority,High Priority,Medium Priority,Low Priority,Medium Priority,Low Priority,Medium Priority,Medium Priority,Low Priority,Medium Priority,,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,,"Recommendations on how to manage,Cost of Production Information,Farm Economics","Internet (websites),Webinars,Virtual Meetings","University of California Cooperative Extension websites,Commodity Board websites,Facebook",10-19 years,3-9 years,80,70,51,60,yes,Under 25 years,Female,White or Caucasian,Yes,"Barley, Cotton, Oilseeds"
27,Grower,960,58,23,19,0,El Dorado,,,2,,,,,,,,,,,,,,,,,,1,,Somewhat concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,,,,,,"Irrigation/Water Management,Disease Control,Weed Control,Insect Pest Control,Harvest Operations,Labor",,,,,"Nutrient Management,Weed Control,Insect Pest Control,Soil Management,Harvest Operations",,,,,"Irrigation/Water Management,Disease Control,Soil Management,Labor",,,,,,,,,,,,,"Stable Markets,Crop Rotation Benefits,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Suitability for saline/alkaline soils,Supports wildlife habitat",,,,,"Profitability,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Suitability for saline/alkaline soils,Crop is traditionally grown on my farm",,,,,"Stable Markets,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Supports wildlife habitat,Crop is traditionally grown on my farm",,,,,,,,,Often,Always,Often,Sometimes,Always,Always,Sometimes,Sometimes,Often,Often,Often,Always,Always,,"Commodity Boards,Other Growers,Pesticide Control Advisor,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)",1-2 times/month,3-6 times per year,1-2 times/month,1-3 times/week,1-2 times/month,Somewhat Valuable,Very Valuable,Very Valuable,Somewhat Valuable,High Priority,Medium Priority,High Priority,,High Priority,High Priority,Medium Priority,Medium Priority,Medium Priority,High Priority,Low Priority,High Priority,High Priority,Medium Priority,Medium Priority,High Priority,Medium Priority,High Priority,Medium Priority,No Opinion,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results","Blogs,Virtual Meetings,Newsletters,Fact Sheets,Demonstration Videos","University of California Cooperative Extension websites,UC Blogs,Commodity Board websites",10-19 years,3-9 years,80,72,88,79,,45 - 54 years,Female,White or Caucasian,Yes,"Wheat, Grass and Grass Mixtures Pasture"
28,Grower,3000,79,13,8,0,Colusa,,2,1,,,,,3,,,,,,,,,,,,,,,Very concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Not  concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Not  concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Not  concerned,,,"Irrigation/Water Management,Weed Control,Soil Management",,"Disease Control,Insect Pest Control,Harvest Operations",,,,"Nutrient Management,Labor,Other:",,,,,,,,,,,,,,,,,"Profitability,Crop Rotation Benefits,Soil is not suitable for other crops",,"Stable Markets,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Suitability for saline/alkaline soils,Crop is traditionally grown on my farm",,,,"Capacity for deficit irrigation or fallowing,Supports wildlife habitat,Other",,,,,,,,,,,,,,,Always,Often,Sometimes,Often,Sometimes,Always,Sometimes,Often,Sometimes,Often,Often,Always,Sometimes,Never,"Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner",1-3 times/week,1-2 times/month,3-6 times per year,1-2 times/month,1-3 times/week,Very Valuable,Somewhat Valuable,Very Valuable,Somewhat Valuable,High Priority,Medium Priority,High Priority,Medium Priority,High Priority,Low Priority,Medium Priority,High Priority,Medium Priority,Low Priority,Medium Priority,Low Priority,Medium Priority,No Opinion,High Priority,Medium Priority,High Priority,Low Priority,High Priority,No Opinion,High Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,No Opinion,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,No Opinion,"Recommendations on how to manage,Cost of Production Information,Field Trial Results","UC Cooperative Extension Magazine Articles,In-person meetings (Field Days, Grower Meetings),Social Media,""California Agriculture"" Journal","University of California Cooperative Extension websites,UC Blogs,Commodity Board websites,Facebook,Vendor Websites",10-19 years,20-29 years,71,75,71,,YES,45 - 54 years,Male,White or Caucasian,Yes,"Rice, Wheat, Corn"
29,Grower,300,80,4,16,0,Kern,,,,,1,,,2,,,,,,,,,,,,,,,Very concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,,,,,,,,"Disease Control,Weed Control,Insect Pest Control",,"Disease Control,Insect Pest Control","Disease Control,Insect Pest Control",,,,,,,,,,,,,,,,,,,,"Profitability,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.)",,"Stable Markets,Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,Soil is not suitable for other crops,Suitability for saline/alkaline soils,Supports wildlife habitat,Crop is traditionally grown on my farm",,,,,,,,,,,,,,,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,"Other Growers,Certified Crop Advisor",1-2 times/year,1-2 times/month,1-2 times/month,1-2 times/month,1-2 times/month,Somewhat Valuable,Very Valuable,Very Valuable,Somewhat Valuable,Low Priority,Low Priority,High Priority,Low Priority,Low Priority,High Priority,High Priority,High Priority,High Priority,Medium Priority,Medium Priority,High Priority,Medium Priority,High Priority,No Opinion,Low Priority,Low Priority,Low Priority,Medium Priority,,Low Satisfaction,Low Satisfaction,Medium Satisfaction,Low Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,No Opinion,High Satisfaction,No Opinion,No Opinion,No Opinion,No Opinion,Medium Satisfaction,,"Decision Support Tools,Cost of Production Information",Internet (websites),"Facebook,Vendor Websites",3-9 years,10-19 years,75,23,0,100,YES,35 - 44 years,Male,White or Caucasian,Yes,"Barley, Corn"
30,Grower,20,90,10,0,0,Alpine,,1,,,,3,,,,,,,,,,,,,,,,2,Very concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,,,,"Irrigation/Water Management,Insect Pest Control,Harvest Operations","Nutrient Management,Disease Control,Soil Management,Harvest Operations",,,,"Nutrient Management,Disease Control,Weed Control,Soil Management,Harvest Operations,Labor",,,,,,,,,,,,,,,,,,Stable Markets,"Crop Rotation Benefits,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Supports wildlife habitat",,,,"Profitability,Capacity for deficit irrigation or fallowing,Soil is not suitable for other crops,Suitability for saline/alkaline soils,Crop is traditionally grown on my farm",,,,,,,,,,,,,,,,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,,"Pesticide Control Advisor,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner",3-6 times per year,1-2 times/year,3-6 times per year,1-2 times/month,1-3 times/week,Somewhat Valuable,Very Valuable,Somewhat Valuable,Somewhat Valuable,Medium Priority,Low Priority,Medium Priority,High Priority,High Priority,Medium Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Medium Priority,Medium Priority,Medium Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,Medium Priority,,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Low Satisfaction,Medium Satisfaction,No Opinion,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,,Farm Economics,"Personal contact (phone, email, on-farm consultation)",Vendor Websites,20-29 years,30+ years,100,60,40,60,,55 - 64 years,Male,White or Caucasian,Yes,"Rice, Oats, Wild Rice"
31,Grower,3000,84,11,5,0,Fresno,,,1,,,,,,,,,,,2,,,,,,,,,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Not  concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Not  concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Not  concerned,,,,,"Nutrient Management,Insect Pest Control,Harvest Operations",,,,,"Irrigation/Water Management,Disease Control,Soil Management,Labor",,,,,,,,"Weed Control,Other:",,,,,,,,,,"Profitability,Crop Rotation Benefits,Suitability for saline/alkaline soils",,,,,"Stable Markets,Capacity for deficit irrigation or fallowing,Soil is not suitable for other crops,Supports wildlife habitat,Other",,,,,,,,"I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Crop is traditionally grown on my farm",,,,,,Often,Always,Often,Sometimes,Always,Often,Always,Often,Sometimes,Often,Always,Often,Sometimes,Never,"Other Growers,Certified Crop Advisor,Water Quality Coalition,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner",1-2 times/month,1-3 times/week,1-2 times/month,1-3 times/week,1-2 times/month,Somewhat Valuable,Very Valuable,Somewhat Valuable,Very Valuable,High Priority,Medium Priority,Low Priority,Medium Priority,High Priority,Medium Priority,High Priority,High Priority,Medium Priority,Low Priority,Medium Priority,High Priority,High Priority,Low Priority,High Priority,Medium Priority,High Priority,Medium Priority,High Priority,Low Priority,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,High Satisfaction,No Opinion,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Field Trial Results","Internet (websites),UC Cooperative Extension Magazine Articles,In-person meetings (Field Days, Grower Meetings),Social Media,""California Agriculture"" Journal","University of California Cooperative Extension websites,UC Blogs,Twitter,Vendor Websites",10-19 years,20-29 years,77,74,63,74,YES,45 - 54 years,Male,White or Caucasian,Yes,"Wheat, Dry Beans"
32,Grower,,20,20,60,0,Butte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,
33,Grower,3000,81,12,7,0,Mariposa,,,1,,,,,2,,,,,,3,,,,,,,,,Very concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Not  concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Not  concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Not  concerned,,,,,"Irrigation/Water Management,Disease Control,Soil Management",,,,"Nutrient Management,Insect Pest Control,Harvest Operations",,,,,,,,,"Weed Control,Labor,Other:",,,,,,,,,,"Stable Markets,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Crop is traditionally grown on my farm",,,,"Profitability,Capacity for deficit irrigation or fallowing,Soil is not suitable for other crops,Supports wildlife habitat",,,,,,,,,"Crop Rotation Benefits,Suitability for saline/alkaline soils,Other",,,,,,Always,Often,Sometimes,Often,Rarely,Always,Often,Sometimes,Rarely,Sometimes,Always,Often,Sometimes,Never,"Other Growers,UC Cooperative Extension,Resource Conservation Districts,State or County Farm Bureau,County Agricultural Commissioner",1-3 times/week,1-2 times/month,3-6 times per year,1-2 times/month,1-3 times/week,Very Valuable,Somewhat Valuable,Very Valuable,Somewhat Valuable,High Priority,Medium Priority,High Priority,Low Priority,Medium Priority,High Priority,Low Priority,High Priority,Low Priority,Medium Priority,High Priority,Medium Priority,Low Priority,No Opinion,High Priority,Medium Priority,Low Priority,Medium Priority,High Priority,No Opinion,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,No Opinion,"Recommendations on how to manage,Farm Economics,Field Trial Results","Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Social Media,Interactive Web Tools,""California Agriculture"" Journal","University of California Cooperative Extension websites,Commodity Board websites,Instagram,Vendor Websites",10-19 years,20-29 years,76,78,65,83,YES,45 - 54 years,Male,White or Caucasian,Yes,"Wheat, Corn, Dry Beans"
34,Grower,500,70,20,10,0,Alpine,3,,,,1,,,,,,,,,2,,,,,,,,,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Somewhat concerned,"Irrigation/Water Management,Weed Control,Harvest Operations",,,,,,"Nutrient Management,Disease Control,Insect Pest Control,Soil Management",,,,,,,,,,,Labor,,,,,,"Profitability,Soil is not suitable for other crops",,,,,,"Stable Markets,Crop Rotation Benefits,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Suitability for saline/alkaline soils,Supports wildlife habitat",,,,,,,,,,,"Capacity for deficit irrigation or fallowing,Crop is traditionally grown on my farm",,,,,,Often,Often,Always,Sometimes,Rarely,Sometimes,Often,Sometimes,Always,Sometimes,Rarely,Sometimes,Often,,"Commodity Boards,Certified Crop Advisor,Resource Conservation Districts",3-6 times per year,1-2 times/month,3-6 times per year,1-2 times/year,3-6 times per year,Somewhat Valuable,Not Valuable,Somewhat Valuable,Somewhat Valuable,Medium Priority,Low Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,Low Priority,Medium Priority,Low Priority,Medium Priority,High Priority,Low Priority,Medium Priority,Low Priority,Medium Priority,Low Priority,Medium Priority,High Priority,Medium Priority,,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,,"Recommendations on how to manage,Farm Economics,Field Trial Results","Internet (websites),Radio/Podcast","University of California Cooperative Extension websites,UC Blogs,Commodity Board websites",3-9 years,10-19 years,70,60,50,50,yes,Under 25 years,Female,White or Caucasian,Yes,"Alfalfa, Barley, Dry Beans"
35,Grower,,73,18,9,0,Merced,,,1,,,,,3,,,,,,2,,,,,,,,,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Not  concerned,Not  concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Not  concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Not  concerned,,,,,"Irrigation/Water Management,Disease Control,Harvest Operations",,,,"Nutrient Management,Weed Control,Soil Management,Labor",,,,,,,,,"Insect Pest Control,Labor,Other:",,,,,,,,,,"Profitability,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Supports wildlife habitat",,,,"Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,Suitability for saline/alkaline soils,Crop is traditionally grown on my farm",,,,,,,,,"Stable Markets,Soil is not suitable for other crops,Other",,,,,,Always,Often,Sometimes,Often,Always,Often,Always,Often,Always,Sometimes,Often,Always,Sometimes,Never,"Certified Crop Advisor,Resource Conservation Districts,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner",1-3 times/week,1-2 times/month,3-6 times per year,1-2 times/month,1-3 times/week,Somewhat Valuable,Very Valuable,Somewhat Valuable,Very Valuable,Medium Priority,Low Priority,Medium Priority,Low Priority,Medium Priority,High Priority,Medium Priority,High Priority,Low Priority,Medium Priority,High Priority,Low Priority,Medium Priority,Low Priority,High Priority,Medium Priority,High Priority,Low Priority,Medium Priority,No Opinion,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,No Opinion,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,No Opinion,"Recommendations on how to manage,Field Trial Results,Regulatory updates","Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Social Media,""California Agriculture"" Journal","University of California Cooperative Extension websites,Commodity Board websites,Facebook,Vendor Websites",10-19 years,20-29 years,69,86,71,81,YES,35 - 44 years,Male,White or Caucasian,Yes,"Wheat, Corn, Dry Beans"
36,Grower,1000,70,20,10,0,Amador,,,,,,,2,1,,,,,,,,,,3,,,,,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,,,"Nutrient Management,Weed Control",,,,,,,"Irrigation/Water Management,Disease Control,Insect Pest Control,Soil Management,Labor",,,,,,,,,,,,"Disease Control,Harvest Operations",,,,"Stable Markets,Soil is not suitable for other crops",,,,,,,"Profitability,Crop Rotation Benefits,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Suitability for saline/alkaline soils,Supports wildlife habitat",,,,,,,,,,,,"Capacity for deficit irrigation or fallowing,Crop is traditionally grown on my farm",,,Often,Sometimes,Rarely,Sometimes,Often,Often,Always,Often,Sometimes,Rarely,Sometimes,Sometimes,Often,,"Industry,Pesticide Control Advisor,Certified Crop Advisor",3-6 times per year,1-2 times/year,3-6 times per year,1-2 times/month,3-6 times per year,Somewhat Valuable,Very Valuable,Somewhat Valuable,Not Valuable,Low Priority,Medium Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,Low Priority,Low Priority,Medium Priority,High Priority,Medium Priority,Low Priority,Medium Priority,Medium Priority,Low Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information","Webinars,Newsletters,UC Cooperative Extension Magazine Articles","University of California Cooperative Extension websites,UC Blogs,Commodity Board websites",20-29 years,10-19 years,60,60,40,60,yes,45 - 54 years,Male,White or Caucasian,Yes,"Cotton, Corn, Sugar Beets"
