"","Primary_Vocation","Acres","Percentage_Field_Crops","Percentage_Vegetable_Crops","Percentage_Tree_and_Vine_Crops","Percentage_Other","County","Alfalfa_Rank","Rice_Rank","Wheat_Rank","Triticale_Rank","Barley_Rank","Oats_Rank","Cotton_Rank","Corn_Rank","Corn_Silage_Rank","Small_Grain_Silage_Rank","Small_Grain_Hay_Rank","Grass_and_Grass_Mixtures_Hay_Rank","Sorghum_Rank","Sorghum_Sudangrass_Sudan_Rank","Dry_Beans_Rank","Mixed_Hay_Rank","Sunflower_Rank","Oilseeds_Rank","Sugar_Beets_Rank","Hemp_Rank","Other_Rank","Grass_and_Grass_Mixtures_Rank","Wild_Rice_Rank","Concern_Commodity_Price_of_Crops","Concern_Market_Access","Concern_Consumer_Demand","Concern_Input_Costs","Concern_Water_Costs","Concern_Land_Tenure","Concern_Water_Quality_and_Availability","Concern_Labor_Quality_and_Availability","Concern_Water_Regulations_Quantity","Concern_Water_Regulations_Quality","Concern_Labor_Regulations","Concern_Chemical_Regulations","Concern_Air_Quality","Concern_Changing_Weather_and_Climate","Concern_Soil_Degradation","Concern_Other","Alfalfa_Concerns","Cotton_Concerns","Rice_Concerns","Wild_Rice_Concerns","Wheat_Concerns","Triticale_Concerns","Barley_Concerns","Oats_Concerns","Corn_Concerns","Sorghum_Concerns","Corn_Silage_Concerns","Small_Grain_Silage_Concerns","Small_Grain_Hay_Concerns","Grass_and_Grass_Mixtures_Hay_Concerns","Grass_and_Grass_Mixtures_Pasture_Concerns","Sorghum_Sudangrass_Sudan_Concerns","Mixed_Hay_Concerns","Dry_Beans_Concerns","Sunflower_Concerns","Oilseeds_Concerns","Sugar_Beets_Concerns","Hemp_Concerns","Other_Concerns","Affected_Crop_Production_Profitability","Affected_Crop_Production_Crop_Yield","Affected_Crop_Production_Crop_Quality","Affected_Crop_Production_Input_Costs","Affected_Crop_Production_Soil_Fertility","Affected_Crop_Production_Land_Stewardship","Affected_Crop_Production_Natural_Resource_Conservation","Affected_Crop_Production_Meeting_Government_Regulations","Affected_Crop_Production_Labor_Required","Affected_Crop_Production_Ease_of_Implementation","Affected_Crop_Production_Certainty_in_Management_Practice","Affected_Crop_Production_Availability_of_Outreach_Information","Affected_Crop_Production_Water_Availability","Affected_Crop_Production_Other","Information_Sources","UCCE_Engagement_Attend_Field_Day","UCCE_Engagement_Read_Blog","UCCE_Engagement_Call_Advisor","UCCE_Engagement_Read_Newsletter","UCCE_Engagement_Interact_with_Social_Media","Amount_Valued_Continuing_Education_Credits","Amount_Valued_On_Farm_Consultations","Amount_Valued_Crop_Injury_Diagnosis","Amount_Valued_On_Farm_Trials","Priority_Irrigation_Management","Priority_Water_Conservation_and_Storage","Priority_Nutrient_Management","Priority_Salinity_Management","Priority_Soil_Health_Management","Priority_Cover_Crops","Priority_Weed_Control","Priority_Insect_Pest_Control","Priority_Disease_Control","Priority_Manure_Management","Priority_Compost_Management","Priority_Crop_Establishment","Priority_Variety_Testing","Priority_Harvest_and_Postharvest","Priority_Emerging_Crops","Priority_Testing_New_Products","Priority_Niche_Marketing_Field_Crops","Priority_Greenhouse_Gas_Emissions_Reduction","Priority_Organic_Production","Priority_Other","Satisfaction_Irrigation_Management","Satisfaction_Water_Conservation_and_Storage","Satisfaction_Nutrient_Management","Satisfaction_Salinity_Management","Satisfaction_Soil_Health_Management","Satisfaction_Cover_Crops","Satisfaction_Weed_Control","Satisfaction_Insect_Pest_Control","Satisfaction_Disease_Control","Satisfaction_Manure_Management","Satisfaction_Compost_Management","Satisfaction_Crop_Establishment","Satisfaction_Variety_Testing","Satisfaction_Harvest_and_Postharvest","Satisfaction_Emerging_Crops","Satisfaction_Testing_New_Products","Satisfaction_Niche_Marketing_Field_Crops","Satisfaction_Greenhouse_Gas_Emissions_Reduction","Satisfaction_Organic_Production","Satisfaction_Other","UCCE_Information_Types_Requested","UCCE_Information_Preferred_Contact","Internet_Information_Sources","Total_Years_in_Crop_Production","Total_Years_in_Consulting_Field_Crops","Percentage_Income_Agriculture","Percentage_of_Total_Irrigated_Acres","Percentage_of_Acres_Leased","Percentage_of_Acres_Owned","Proposed_Ideas","Age_Range","Gender","Race_Ethnicity","Gift_Card","Crops","Region"
"26","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","440","30","46","24","0","Alameda",NA,"1",NA,NA,"2",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned",NA,NA,NA,"Irrigation/Water Management,Disease Control,Insect Pest Control,Harvest Operations,Labor",NA,NA,NA,"Nutrient Management,Weed Control,Soil Management,Harvest Operations,Labor",NA,"Irrigation/Water Management,Weed Control,Insect Pest Control,Harvest Operations,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rarely","Sometimes","Rarely","Sometimes","Often","Rarely","Sometimes","Never","Sometimes","Rarely","Often","Rarely","Sometimes",NA,"Industry,Pesticide Control Advisor,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner","1-2 times/year","1-2 times/month","1-3 times/week","1-3 times/week","1-2 times/month","Somewhat Valuable","Very Valuable","Somewhat Valuable","Somewhat Valuable","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority",NA,"Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction",NA,"Decision Support Tools,Farm Economics","Internet (websites),UC Cooperative Extension Magazine Articles,Social Media","UC Blogs,Vendor Websites",NA,"10-19 years","37","25","42","24","NA","35 - 44 years","Male","White or Caucasian","Yes","Rice, Barley, Corn","Coastal, Coastal"
"27","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","468000","30","35","23","12","Amador,Imperial,Los Angeles,Modoc,Placer,San Joaquin,Siskiyou",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"3",NA,NA,NA,NA,"Very concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Very concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Very concerned","Not  concerned","Very concerned","Somewhat concerned","Not  concerned","Very concerned","Somewhat concerned","Very concerned",NA,NA,NA,NA,NA,NA,NA,"Nutrient Management,Weed Control",NA,NA,NA,NA,NA,NA,NA,NA,"Disease Control,Insect Pest Control,Soil Management,Other:",NA,NA,NA,"Irrigation/Water Management,Harvest Operations,Labor",NA,NA,"Never","Rarely","Always","Sometimes","Often","Always","Rarely","Sometimes","Often","Never","Rarely","Often","Sometimes","Never","UC Cooperative Extension,State or County Farm Bureau,Family members,County Agricultural Commissioner","1-3 times/week","3-6 times per year","1-2 times/year","1-2 times/month","Never","Not Valuable","Somewhat Valuable",NA,"Very Valuable","No Opinion","Medium Priority","Medium Priority","High Priority","No Opinion","Low Priority","Low Priority","Medium Priority","High Priority","Low Priority","Medium Priority","No Opinion","No Opinion","Low Priority","Low Priority","Medium Priority","Medium Priority","High Priority","No Opinion","Low Priority","Low Satisfaction","No Opinion","High Satisfaction","Medium Satisfaction","High Satisfaction","Low Satisfaction","No Opinion","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","No Opinion","Low Satisfaction","No Opinion","Medium Satisfaction","Low Satisfaction","High Satisfaction","Medium Satisfaction","Low Satisfaction","Recommendations on how to manage,Cost of Production Information,Regulatory updates","Webinars,UC Cooperative Extension Magazine Articles,Social Media,Interactive Web Tools","University of California Cooperative Extension websites,Facebook",NA,"20-29 years","79","40","72","51",NA,"45 - 54 years","Female","White or Caucasian","Yes","Oats, Mixed Hay, Sugar Beets","Intermountain, NSJV, Desert, Coastal, Sierra_Nevada"
"28","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","425","30","41","29","0","Alameda",NA,NA,"1",NA,"2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned",NA,NA,NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Weed Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",NA,"Nutrient Management,Weed Control,Insect Pest Control,Harvest Operations,Labor","Irrigation/Water Management,Disease Control,Insect Pest Control,Soil Management,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Always","Sometimes","Often","Rarely","Often","Always","Sometimes","Often","Sometimes","Often","Often","Sometimes","Often",NA,"Industry,Other Growers,Pesticide Control Advisor,State or County Farm Bureau,County Agricultural Commissioner","1-2 times/year","1-2 times/month","1-3 times/week","1-2 times/month","1-2 times/month","Somewhat Valuable","Very Valuable","Somewhat Valuable","Very Valuable","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority",NA,"Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction",NA,"Recommendations on how to manage,Cost of Production Information","Internet (websites),Webinars,Radio/Podcast,Social Media","UC Blogs,Vendor Websites",NA,"10-19 years","38","32","46","35","NA","35 - 44 years","Male","White or Caucasian","Yes","Wheat, Barley, Oats","Coastal, Coastal"
"29","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","360000","35","31","23","11","Calaveras,Fresno,Inyo,Mendocino,Placer,San Luis Obispo",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"1","Not  concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Not  concerned","Very concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Not  concerned","Very concerned","Not  concerned","Very concerned","Somewhat concerned","Not  concerned",NA,NA,NA,"Irrigation/Water Management,Insect Pest Control,Other:",NA,NA,NA,NA,NA,NA,"Nutrient Management,Harvest Operations",NA,NA,NA,NA,NA,NA,NA,"Disease Control,Weed Control,Soil Management,Labor",NA,NA,NA,NA,"Rarely","Often","Never","Rarely","Sometimes","Always","Rarely","Never","Sometimes","Often","Often","Rarely","Never","Sometimes","Resource Conservation Districts,Water Quality Coalition,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Field crew","3-6 times per year","1-3 times/week","1-2 times/year","Never","1-2 times/month","Not Valuable","Very Valuable","Somewhat Valuable",NA,"Low Priority","Medium Priority","No Opinion","High Priority","No Opinion","Low Priority","Medium Priority","Medium Priority","No Opinion","Low Priority","Medium Priority","High Priority","No Opinion","High Priority","High Priority","Low Priority","Medium Priority","Low Priority","No Opinion","Low Priority","Medium Satisfaction","No Opinion","High Satisfaction","Medium Satisfaction","Low Satisfaction","No Opinion","Medium Satisfaction","Medium Satisfaction","No Opinion","Low Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","Medium Satisfaction","No Opinion","Medium Satisfaction","Low Satisfaction","High Satisfaction","Medium Satisfaction","Cost of Production Information,Field Trial Results","Internet (websites),Virtual Meetings,Personal contact (phone, email, on-farm consultation),Books/manuals,Social Media","University of California Cooperative Extension websites,Commodity Board websites,Facebook",NA,"10-19 years","55","40","71","43",NA,"35 - 44 years","Male","White or Caucasian","Yes","Corn Silage, Sunflower, Wild Rice","Sierra_Nevada, SSJV, Coastal, Sierra_Nevada"
"30","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","800","86","4","10","0","Kings",NA,NA,"1",NA,NA,NA,NA,"2",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned",NA,NA,NA,NA,NA,"Disease Control,Insect Pest Control",NA,NA,NA,"Disease Control,Insect Pest Control","Disease Control,Insect Pest Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Often","Often","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes",NA,"Industry,Other Growers","1-2 times/year","3-6 times per year","3-6 times per year",NA,"1-2 times/month","Somewhat Valuable","Somewhat Valuable","Somewhat Valuable","Somewhat Valuable","Medium Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","Low Priority","Low Priority","High Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","No Opinion","Low Priority","Low Priority","Low Priority","Medium Priority",NA,"Low Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction",NA,"Decision Support Tools","Internet (websites)","University of California Cooperative Extension websites,Facebook",NA,"10-19 years","40","33","60","40","YES","35 - 44 years","Male","White or Caucasian","Yes","Wheat, Corn, Sorghum","SSJV, SSJV"
"31","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","430","28","37","35","0","Alameda",NA,"2","1",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned",NA,NA,NA,"Irrigation/Water Management,Disease Control,Insect Pest Control,Harvest Operations,Labor",NA,"Nutrient Management,Weed Control,Soil Management,Harvest Operations,Labor",NA,NA,NA,NA,NA,NA,NA,"Irrigation/Water Management,Disease Control,Weed Control,Insect Pest Control,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rarely","Sometimes","Often","Often","Sometimes","Sometimes","Rarely","Often","Sometimes","Rarely","Often","Rarely","Sometimes",NA,"Industry,Other Growers,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner","1-2 times/year","3-6 times per year","1-2 times/month","1-3 times/week","1-2 times/month","Somewhat Valuable","Very Valuable","Somewhat Valuable","Somewhat Valuable","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority",NA,"Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction",NA,"Decision Support Tools,Farm Economics","Internet (websites),Virtual Meetings,Newsletters,Radio/Podcast,Social Media,Interactive Web Tools","UC Blogs,Vendor Websites",NA,"10-19 years","38","27","47","29","NA","35 - 44 years","Male","White or Caucasian","Yes","Rice, Wheat, Small Grain Hay","Coastal, Coastal"
"32","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","440","26","38","36","0","Alameda",NA,NA,"3",NA,"2",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned",NA,NA,NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Weed Control,Soil Management,Harvest Operations,Labor",NA,"Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Labor",NA,"Irrigation/Water Management,Disease Control,Insect Pest Control,Harvest Operations,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Rarely","Sometimes","Often","Rarely","Often","Rarely","Sometimes","Often","Rarely","Often","Sometimes","Often",NA,"Industry,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner","1-2 times/year","1-2 times/month","1-3 times/week","1-3 times/week","1-2 times/month","Somewhat Valuable","Very Valuable","Somewhat Valuable","Very Valuable","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority",NA,"Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction",NA,"Decision Support Tools,Recommendations on how to manage","Internet (websites),Radio/Podcast,Social Media,Interactive Web Tools,""California Agriculture"" Journal","UC Blogs,Vendor Websites",NA,"10-19 years","37","32","49","41","NA","45 - 54 years","Female","White or Caucasian","Yes","Wheat, Barley, Corn","Coastal, Coastal"
"33","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","420","30","47","23","0","San Francisco",NA,"2","1",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned",NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Disease Control,Soil Management,Harvest Operations,Labor",NA,"Nutrient Management,Weed Control,Insect Pest Control,Harvest Operations,Labor",NA,NA,"Irrigation/Water Management,Weed Control,Soil Management,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes","Rarely","Sometimes","Often","Sometimes","Often","Sometimes","Often","Rarely","Sometimes","Often","Sometimes","Often",NA,"Industry,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner","1-2 times/year","1-3 times/week","1-2 times/month","1-3 times/week","1-2 times/month","Somewhat Valuable","Very Valuable","Somewhat Valuable","Somewhat Valuable","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority",NA,"Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction",NA,"Cost of Production Information,Farm Economics","Internet (websites),Virtual Meetings,Radio/Podcast,Social Media","UC Blogs,Vendor Websites",NA,"10-19 years","47","31","44","37","NA","35 - 44 years","Male","White or Caucasian","Yes","Rice, Wheat, Oats","Coastal, Coastal"
"34","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","420","25","36","39","0","Kern",NA,"1",NA,NA,"2",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned",NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Weed Control,Insect Pest Control,Soil Management,Labor",NA,NA,NA,"Disease Control,Weed Control,Harvest Operations,Labor",NA,"Irrigation/Water Management,Nutrient Management,Insect Pest Control,Harvest Operations,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes","Often","Sometimes","Often","Sometimes","Often","Rarely","Often","Sometimes","Often","Often","Sometimes","Often","Often","Industry,Other Growers,State or County Farm Bureau,County Agricultural Commissioner","1-2 times/year","1-3 times/week","1-2 times/month","1-3 times/week","3-6 times per year","Somewhat Valuable","Very Valuable","Somewhat Valuable","Very Valuable","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority",NA,"Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction",NA,"Decision Support Tools,Farm Economics","Internet (websites),Virtual Meetings,Radio/Podcast,Social Media,""California Agriculture"" Journal","UC Blogs,Vendor Websites",NA,"10-19 years","38","24","46","29","NA","35 - 44 years","Female","White or Caucasian","Yes","Rice, Barley, Corn","SSJV, SSJV"
"35","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","800","77","3","20","0","Mariposa",NA,NA,"2",NA,NA,NA,"1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned",NA,NA,"Disease Control,Weed Control,Insect Pest Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Rarely","Rarely",NA,"Industry,Certified Crop Advisor","1-2 times/year","3-6 times per year","3-6 times per year","3-6 times per year","3-6 times per year","Somewhat Valuable","Somewhat Valuable","Not Valuable","Not Valuable","Low Priority","Low Priority","Low Priority","No Opinion","Low Priority","Medium Priority","Medium Priority","High Priority","High Priority","Low Priority","Low Priority","High Priority","Low Priority","Low Priority","No Opinion","No Opinion","Low Priority","Low Priority","Medium Priority",NA,"Low Satisfaction","Low Satisfaction","Low Satisfaction","No Opinion","Low Satisfaction","Low Satisfaction","Low Satisfaction","High Satisfaction","High Satisfaction","Low Satisfaction","Low Satisfaction","High Satisfaction","Low Satisfaction","Low Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","Medium Satisfaction",NA,"Recommendations on how to manage,Cost of Production Information","Internet (websites)","University of California Cooperative Extension websites,Facebook",NA,"10-19 years","54","29",NA,"100","YES","35 - 44 years","Male","White or Caucasian","Yes","Wheat, Cotton, Corn","Sierra_Nevada, Sierra_Nevada"
"36","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","1000","89","2","9","0","San Diego",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"3",NA,NA,NA,NA,NA,NA,"Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned",NA,"Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Not  concerned",NA,NA,NA,NA,NA,"Disease Control,Insect Pest Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Irrigation/Water Management,Disease Control,Insect Pest Control","Disease Control,Insect Pest Control",NA,NA,NA,NA,"Sometimes","Often","Often","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Rarely","Rarely","Sometimes","Rarely","Rarely",NA,"Other Growers,Certified Crop Advisor,Family members,County Agricultural Commissioner","1-2 times/month","1-2 times/month","3-6 times per year","3-6 times per year","1-2 times/month","Not Valuable","Somewhat Valuable","Somewhat Valuable","Not Valuable","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","Low Priority","High Priority","Low Priority","Medium Priority","No Opinion","No Opinion","No Opinion","No Opinion","Medium Priority",NA,"Low Satisfaction","Low Satisfaction","Medium Satisfaction","No Opinion","Low Satisfaction","Low Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","No Opinion","Medium Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","Medium Satisfaction",NA,"Decision Support Tools,Cost of Production Information","Internet (websites),Social Media","UC Blogs,Facebook",NA,"10-19 years","58","43","0","100","YES","26- 34 years","Male","White or Caucasian","Yes","Wheat, Dry Beans, Sunflower","Coastal, Coastal"
