"","Primary_Vocation","County","Concern_Commodity_Price_of_Crops","Concern_Market_Access","Concern_Consumer_Demand","Concern_Input_Costs","Concern_Water_Costs","Concern_Land_Tenure","Concern_Water_Quality_and_Availability","Concern_Labor_Quality_and_Availability","Concern_Water_Regulations_Quantity","Concern_Water_Regulations_Quality","Concern_Labor_Regulations","Concern_Chemical_Regulations","Concern_Air_Quality","Concern_Changing_Weather_and_Climate","Concern_Soil_Degradation","Information_Sources","UCCE_Engagement_Attend_Field_Day","UCCE_Engagement_Read_Blog","UCCE_Engagement_Call_Advisor","UCCE_Engagement_Read_Newsletter","UCCE_Engagement_Interact_with_Social_Media","Priority_Irrigation_Management","Priority_Water_Conservation_and_Storage","Priority_Nutrient_Management","Priority_Salinity_Management","Priority_Soil_Health_Management","Priority_Cover_Crops","Priority_Weed_Control","Priority_Insect_Pest_Control","Priority_Disease_Control","Priority_Manure_Management","Priority_Compost_Management","Priority_Crop_Establishment","Priority_Variety_Testing","Priority_Harvest_and_Postharvest","Priority_Emerging_Crops","Priority_Testing_New_Products","Priority_Niche_Marketing_Field_Crops","Priority_Greenhouse_Gas_Emissions_Reduction","Priority_Organic_Production","Satisfaction_Irrigation_Management","Satisfaction_Water_Conservation_and_Storage","Satisfaction_Nutrient_Management","Satisfaction_Salinity_Management","Satisfaction_Soil_Health_Management","Satisfaction_Cover_Crops","Satisfaction_Weed_Control","Satisfaction_Insect_Pest_Control","Satisfaction_Disease_Control","Satisfaction_Manure_Management","Satisfaction_Compost_Management","Satisfaction_Crop_Establishment","Satisfaction_Variety_Testing","Satisfaction_Harvest_and_Postharvest","Satisfaction_Emerging_Crops","Satisfaction_Testing_New_Products","Satisfaction_Niche_Marketing_Field_Crops","Satisfaction_Greenhouse_Gas_Emissions_Reduction","Satisfaction_Organic_Production","UCCE_Information_Types_Requested","UCCE_Information_Preferred_Contact","Internet_Information_Sources","Age_Range","Gender","Race_Ethnicity","Gift_Card","Region"
"11","Other (please specify):","Butte,Colusa,Fresno,Glenn,Imperial,Inyo,Kern,Kings,Lake,Madera,Mariposa,Merced,Modoc,Monterey,Riverside,Sacramento,San Benito,San Luis Obispo,Shasta,Stanislaus,Sutter,Tulare,Yolo ,Yuba","Somewhat concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,Resource Conservation Districts,Water Quality Coalition,NRCS,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Family members,County Agricultural Commissioner","3-6 times per year","1-2 times/month","3-6 times per year","3-6 times per year","1-2 times/year","High Priority","High Priority","Medium Priority","Low Priority",NA,"Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Blogs,Newsletters,In-person meetings (Field Days, Grower Meetings),Fact Sheets,Two or three day destination meetings","University of California Cooperative Extension websites,Commodity Board websites,Other state's Cooperative Extension websites (specify which universities):","75 years and over","Male","Prefer not to say","Yes","Sac_Valley, Sac_Valley, NSJV, SSJV, Desert, Coastal, Sierra_Nevada"
"12","Other (please specify):","San Joaquin,Santa Cruz,Ventura","Somewhat concerned","Somewhat concerned","Not  concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Other Growers,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/year","3-6 times per year","Never","3-6 times per year","1-2 times/year","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","No Opinion","No Opinion","Low Priority","High Priority","Low Priority","Low Priority","High Priority","Medium Priority","High Priority","Low Priority","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","Low Satisfaction","Medium Satisfaction","No Opinion","Low Satisfaction","Medium Satisfaction","No Opinion","Low Satisfaction","No Opinion","Recommendations on how to manage,Field Trial Results,Regulatory updates","Internet (websites),Blogs,Virtual Meetings,In-person meetings (Field Days, Grower Meetings),Radio/Podcast,Demonstration Videos","University of California Cooperative Extension websites,UC Blogs,Commodity Board websites,YouTube (who/what channel?)","26- 34 years","Male","White or Caucasian","Yes","Coastal, NSJV, Coastal"
"13","Other (please specify):","Sutter","Very concerned",NA,NA,"Very concerned","Very concerned",NA,NA,NA,NA,NA,NA,"Very concerned",NA,NA,NA,"Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,County Agricultural Commissioner","1-2 times/year","1-2 times/year","Never","3-6 times per year","Never","High Priority","High Priority","Medium Priority","Low Priority","Medium Priority","Low Priority","High Priority","High Priority","High Priority","Low Priority","Low Priority","Low Priority","Medium Priority","Low Priority","Low Priority","High Priority","Low Priority","Low Priority","Medium Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Decision Support Tools,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Newsletters,UC Cooperative Extension Magazine Articles,Fact Sheets","I don't look for field crop production information on the internet","65 - 74 years","Male","White or Caucasian","No","Sac_Valley, Sac_Valley"
"14","Other (please specify):","Lassen,Modoc,Sierra,Siskiyou","Very concerned","Somewhat concerned","Very concerned","Not  concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","3-6 times per year","Never","1-2 times/year","1-2 times/year","Never","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","High Priority","Low Priority","High Priority","High Priority","Medium Priority","Low Priority","Low Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results","Internet (websites),Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Two or three day destination meetings","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):","26- 34 years","Male","Hispanic or Latino","Yes","Intermountain, Sierra_Nevada"
"15","Other (please specify):","Del Norte,Fresno,Glenn,Humboldt,Kern,Kings,Madera,Marin,Mendocino,Merced,Riverside,Sacramento,San Bernardino,San Diego,San Joaquin,Sonoma,Stanislaus,Tulare,Yolo","Somewhat concerned","Not  concerned","Not  concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned",NA,"3-6 times per year","Never","1-2 times/year","3-6 times per year","Never","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Low Priority","High Priority","Medium Priority","Low Priority","Medium Priority","Low Priority","Low Priority","Medium Priority","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","No Opinion","No Opinion","No Opinion","Medium Satisfaction","No Opinion","Recommendations on how to manage,Cost of Production Information,Field Trial Results","Internet (websites),Newsletters,In-person meetings (Field Days, Grower Meetings)","University of California Cooperative Extension websites","45 - 54 years","Male","White or Caucasian","Yes","Coastal, Sac_Valley, NSJV, SSJV, Desert, Coastal"
"16","Other (please specify):","Colusa,Sacramento,Solano,Sutter,Yolo","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Pesticide Control Advisor,NRCS,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/year","Never","Never","Never","Never","High Priority","High Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","High Priority","Medium Priority","Low Priority","No Opinion","Low Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Cost of Production Information,Field Trial Results","Internet (websites),Social Media,Fact Sheets","Farmer network or forum (please specify),Facebook","55 - 64 years","Female","White or Caucasian","Yes","Sac_Valley, Sac_Valley"
"17","Other (please specify):","Placer,Sutter,Yolo ,Yuba","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Not  concerned","Somewhat concerned","Other (please specify):","Never","Never","Never","1-2 times/year","Never","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","High Priority","Low Priority","Low Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Low Priority","Low Priority","Low Priority","No Opinion","No Opinion","Low Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","Other (please specify):","""California Agriculture"" Journal","I don't look for field crop production information on the internet","55 - 64 years","Male","Other (please specify)","No","Sac_Valley, Sac_Valley, Sierra_Nevada"
"18","Other (please specify):","Colusa,Placer,Sutter,Yolo","Not  concerned","Not  concerned","Not  concerned","Not  concerned","Not  concerned","Not  concerned","Not  concerned","Not  concerned","Somewhat concerned","Not  concerned","Not  concerned","Not  concerned","Not  concerned","Not  concerned","Not  concerned","County Agricultural Commissioner",NA,"1-2 times/year","1-2 times/year","1-2 times/year",NA,"Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction",NA,"Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Recommendations on how to manage,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Newsletters,UC Cooperative Extension Magazine Articles","University of California Cooperative Extension websites","55 - 64 years","Female","White or Caucasian","Yes","Sac_Valley, Sac_Valley, Sierra_Nevada"
"19","Other (please specify):","Contra Costa","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","UC Cooperative Extension,Resource Conservation Districts,NRCS,County Agricultural Commissioner","1-2 times/year","3-6 times per year","Never","3-6 times per year","3-6 times per year","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","High Priority","Medium Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Regulatory updates","Internet (websites),Blogs,Webinars,Virtual Meetings,UC Cooperative Extension Magazine Articles,Social Media,Fact Sheets,Interactive Web Tools,Demonstration Videos,Two or three day destination meetings,""California Agriculture"" Journal","University of California Cooperative Extension websites","26- 34 years","Male","White or Caucasian","Yes","Coastal, Coastal"
"20","Other (please specify):","Butte,Colusa,Glenn,Sutter,Tehama,Yolo ,Yuba","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Not  concerned","Not  concerned","Very concerned","Not  concerned","Not  concerned","Not  concerned","Industry,Commodity Boards,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Field crew","1-2 times/month","1-2 times/month","Never","1-2 times/month","Never","Low Priority","Medium Priority","No Opinion","High Priority","Low Priority","Low Priority","Low Priority","Medium Priority","High Priority","High Priority","High Priority","No Opinion","High Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","No Opinion","Low Priority","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Decision Support Tools,Cost of Production Information,Field Trial Results","Internet (websites),Books/manuals,Fact Sheets,Interactive Web Tools","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):","55 - 64 years","Prefer not to say","Prefer not to say","No","Sac_Valley, Sac_Valley"
"21","Other (please specify):","Lassen","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Other Growers,UC Cooperative Extension,County Agricultural Commissioner","1-2 times/year","1-2 times/year","1-2 times/year","1-2 times/year","Never","Medium Priority","Low Priority","High Priority","Low Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","High Priority","Medium Priority","Low Priority","Low Priority","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Newsletters,Personal contact (phone, email, on-farm consultation)","University of California Cooperative Extension websites","65 - 74 years","Female","White or Caucasian","No","Intermountain"
"22","Other (please specify):","Humboldt,Lake,Mendocino,Sonoma","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coastal, Coastal"
"23","Other (please specify):","Butte,Colusa,Glenn,Placer,Sacramento,Sutter,Yolo","Somewhat concerned","Not  concerned","Not  concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Not  concerned","Very concerned","Very concerned","Industry,Commodity Boards,Other Growers,UC Cooperative Extension,Resource Conservation Districts,NRCS","1-2 times/year","3-6 times per year","1-2 times/year","3-6 times per year","3-6 times per year","No Opinion","No Opinion","High Priority","No Opinion","High Priority","High Priority","High Priority","High Priority","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","Medium Priority","Low Priority","Medium Priority","High Priority","Medium Priority","No Opinion","No Opinion","No Opinion","No Opinion","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","Cost of Production Information,Farm Economics","Newsletters,Social Media,Fact Sheets","UC Blogs","35 - 44 years","Female","White or Caucasian","Yes","Sac_Valley, Sac_Valley, Sierra_Nevada"
"24","Other (please specify):","Butte,Colusa,Glenn,Sacramento,Sutter,Yuba","Somewhat concerned","Very concerned","Not  concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Not  concerned","Somewhat concerned","Pesticide Control Advisor,UC Cooperative Extension,Water Quality Coalition,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-3 times/week","1-2 times/month","1-2 times/month","1-2 times/month","Never","Medium Priority","Low Priority","High Priority","Low Priority","Low Priority","Low Priority","High Priority","High Priority","High Priority","Low Priority","Low Priority","Medium Priority",NA,"High Priority","Low Priority","High Priority","Low Priority","Low Priority","Low Priority","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","No Opinion","No Opinion","Medium Satisfaction","High Satisfaction","Medium Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Field Trial Results,Regulatory updates","Internet (websites),UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Fact Sheets","University of California Cooperative Extension websites","65 - 74 years","Male","Prefer not to say","No","Sac_Valley, Sac_Valley"
"25","Other (please specify):","Tulare","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SSJV, SSJV"
"26","Other (please specify):","Amador,Butte,Colusa,El Dorado,Glenn,Lake,Lassen,Modoc,Nevada,Placer,Plumas,Sacramento,Shasta,Sierra,Siskiyou,Solano,Sutter,Tehama,Yolo ,Yuba","Very concerned","Not  concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Not  concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Industry,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,Resource Conservation Districts,Water Quality Coalition,NRCS,State or County Farm Bureau,County Agricultural Commissioner","3-6 times per year","1-2 times/month","1-2 times/year","1-2 times/month","1-2 times/month","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","No Opinion","High Priority","Medium Priority","Medium Priority","Medium Priority","No Opinion","No Opinion","No Opinion","Medium Priority","High Priority","No Opinion","High Priority","No Opinion","High Satisfaction","Medium Satisfaction","High Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","No Opinion","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","High Satisfaction","Medium Satisfaction","Decision Support Tools,Recommendations on how to manage,Field Trial Results,Regulatory updates","Internet (websites),In-person meetings (Field Days, Grower Meetings),Radio/Podcast,Fact Sheets,Interactive Web Tools,Demonstration Videos","University of California Cooperative Extension websites","65 - 74 years","Male","White or Caucasian","No","Sac_Valley, Sac_Valley, Coastal, Sierra_Nevada"
"27","Other (please specify):","Riverside","Not  concerned","Not  concerned","Not  concerned","Not  concerned","Somewhat concerned","Very concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Other Growers,UC Cooperative Extension,NRCS,State or County Farm Bureau","1-2 times/year","3-6 times per year","1-2 times/year","3-6 times per year","Never","High Priority","Medium Priority","High Priority","High Priority","Medium Priority","No Opinion","No Opinion","Medium Priority","Medium Priority","High Priority","Medium Priority","No Opinion","No Opinion","No Opinion","No Opinion","Medium Priority","No Opinion","High Priority","High Priority","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","No Opinion","No Opinion","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","Medium Satisfaction","No Opinion","Medium Satisfaction","Medium Satisfaction","Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Webinars,Newsletters,In-person meetings (Field Days, Grower Meetings),Fact Sheets","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):","55 - 64 years","Male","White or Caucasian","No","Desert, Desert"
"28","Other (please specify):","Butte,Colusa,Monterey,San Luis Obispo,Solano,Yolo","Somewhat concerned",NA,"Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned",NA,NA,"Not  concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Other Growers,Pesticide Control Advisor,Field crew","1-2 times/year","1-2 times/month","1-2 times/year","1-2 times/month",NA,"High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","High Priority","No Opinion","No Opinion","Low Priority","No Opinion","Low Priority","Low Priority","Medium Priority","Low Priority","High Priority","Medium Priority","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","No Opinion","High Satisfaction","High Satisfaction","No Opinion","No Opinion","No Opinion","Medium Satisfaction","No Opinion","No Opinion","Medium Satisfaction","No Opinion","High Satisfaction","Medium Satisfaction","Decision Support Tools,Field Trial Results","Internet (websites),Blogs,Webinars,Virtual Meetings,Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Fact Sheets,Interactive Web Tools","University of California Cooperative Extension websites,UC Blogs","65 - 74 years","Male","White or Caucasian","No","Sac_Valley, Sac_Valley, Coastal"
"29","Other (please specify):","Siskiyou","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Not  concerned","Industry,Other Growers,UC Cooperative Extension","1-2 times/year","1-2 times/year","Never","1-2 times/year","Never","High Priority","High Priority","High Priority","Low Priority","Medium Priority",NA,"High Priority","Medium Priority","Low Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Medium Priority","Low Priority","Low Priority","High Satisfaction","High Satisfaction","High Satisfaction","No Opinion","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","No Opinion","No Opinion","High Satisfaction","High Satisfaction","Medium Satisfaction","Low Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","Recommendations on how to manage,Field Trial Results","Internet (websites),Newsletters,In-person meetings (Field Days, Grower Meetings),Books/manuals,Social Media","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):","65 - 74 years","Male","White or Caucasian,Black or African American,American Indian or Alaska Native","No","Intermountain"
"30","Other (please specify):","Fresno,Madera,Mariposa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NSJV, NSJV, SSJV, Sierra_Nevada"
"31","Other (please specify):","Lassen,Modoc,Shasta,Siskiyou","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intermountain"
